Num,X,Y
1,0.4800314,0.8092387
2,0.4421414,0.7990029
3,0.4985119,0.3290383
4,0.321264,0.1871356
5,0.05276597,0.1731188
6,0.05276597,0.1731188
7,0.1563929,0.7098147
8,0.3499259,0.9619943
9,0.4085786,0.99298
10,0.910159,0.7763313
11,0.9431985,0.5276705
12,0.4919634,0.4393202
13,0.2265303,0.4632686
14,0.6038865,0.3907964
15,0.5641485,0.5021565
16,0.4733783,0.5901245
17,0.4538761,0.7569902
